X1	Y1	X2	Y2	X3	Y3	
0.00	-7000.00	0.00	0.00	4000.00	5000.00	
2.00	-7000.00	0.00	-0.00	3998.40	5001.20	
4.00	-6999.99	0.00	-0.00	3996.80	5002.39	
6.00	-6999.99	0.00	-0.00	3995.19	5003.59	
8.00	-6999.98	0.00	-0.00	3993.59	5004.78	
10.00	-6999.97	0.00	-0.00	3991.98	5005.98	
12.00	-6999.97	0.00	-0.00	3990.37	5007.17	
14.00	-6999.95	0.00	-0.00	3988.77	5008.36	
16.00	-6999.94	0.00	-0.00	3987.16	5009.55	
18.00	-6999.93	0.00	-0.00	3985.55	5010.73	
20.00	-6999.91	0.00	-0.00	3983.94	5011.92	
22.00	-6999.90	0.00	-0.00	3982.32	5013.10	
24.00	-6999.88	0.00	-0.00	3980.71	5014.29	
26.00	-6999.86	0.00	-0.00	3979.10	5015.47	
28.00	-6999.84	0.00	-0.00	3977.48	5016.65	
30.00	-6999.82	0.00	-0.00	3975.86	5017.83	
32.00	-6999.79	0.00	-0.00	3974.25	5019.01	
34.00	-6999.77	0.00	-0.00	3972.63	5020.18	
36.00	-6999.74	0.00	-0.00	3971.01	5021.36	
38.00	-6999.71	0.00	-0.00	3969.39	5022.53	
40.00	-6999.69	0.00	-0.00	3967.77	5023.71	
42.00	-6999.65	0.00	-0.00	3966.14	5024.88	
44.00	-6999.62	0.00	-0.00	3964.52	5026.05	
46.00	-6999.59	0.00	-0.00	3962.89	5027.22	
48.00	-6999.55	0.00	-0.00	3961.27	5028.38	
50.00	-6999.52	0.00	-0.00	3959.64	5029.55	
52.00	-6999.48	0.00	-0.00	3958.01	5030.71	
54.00	-6999.44	0.00	-0.00	3956.38	5031.88	
56.00	-6999.40	0.00	-0.00	3954.75	5033.04	
58.00	-6999.36	0.00	-0.00	3953.12	5034.20	
60.00	-6999.31	0.00	-0.00	3951.49	5035.36	
62.00	-6999.27	0.00	-0.00	3949.86	5036.52	
64.00	-6999.22	0.00	-0.00	3948.22	5037.67	
66.00	-6999.17	0.00	-0.00	3946.59	5038.83	
