X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	
0.00	0.00	-5000.00	0.00	5000.00	0.00	0.00	-5000.00	0.00	5000.00	
0.00	0.00	-5000.00	-2.00	5000.00	2.00	2.00	-5000.00	-2.00	5000.00	
0.00	0.00	-4999.99	-4.00	4999.99	4.00	4.00	-4999.99	-4.00	4999.99	
0.00	0.00	-4999.98	-6.00	4999.98	6.00	6.00	-4999.98	-6.00	4999.98	
0.00	-0.00	-4999.98	-8.00	4999.98	8.00	8.00	-4999.98	-8.00	4999.98	
0.00	-0.00	-4999.96	-10.00	4999.96	10.00	10.00	-4999.96	-10.00	4999.96	
0.00	-0.00	-4999.95	-12.00	4999.95	12.00	12.00	-4999.95	-12.00	4999.95	
0.00	-0.00	-4999.94	-14.00	4999.94	14.00	14.00	-4999.94	-14.00	4999.94	
0.00	-0.00	-4999.92	-16.00	4999.92	16.00	16.00	-4999.92	-16.00	4999.92	
0.00	-0.00	-4999.90	-18.00	4999.90	18.00	18.00	-4999.90	-18.00	4999.90	
0.00	-0.00	-4999.88	-20.00	4999.88	20.00	20.00	-4999.88	-20.00	4999.88	
0.00	-0.00	-4999.86	-22.00	4999.86	22.00	22.00	-4999.86	-22.00	4999.86	
0.00	-0.00	-4999.83	-24.00	4999.83	24.00	24.00	-4999.83	-24.00	4999.83	
0.00	-0.00	-4999.80	-26.00	4999.80	26.00	26.00	-4999.80	-26.00	4999.80	
0.00	-0.00	-4999.78	-28.00	4999.78	28.00	28.00	-4999.78	-28.00	4999.78	
0.00	-0.00	-4999.74	-30.00	4999.74	30.00	30.00	-4999.74	-30.00	4999.74	
0.00	-0.00	-4999.71	-32.00	4999.71	32.00	32.00	-4999.71	-32.00	4999.71	
0.00	-0.00	-4999.68	-34.00	4999.68	34.00	34.00	-4999.68	-34.00	4999.68	
0.00	-0.00	-4999.64	-36.00	4999.64	36.00	36.00	-4999.64	-36.00	4999.64	
0.00	-0.00	-4999.60	-38.00	4999.60	38.00	38.00	-4999.60	-38.00	4999.60	
